col_0,col_1,col_2,col_3,col_4
-0.240325,0.444263,0.71096,0.712998,-0.374821
-1.026515,1.195047,-0.700121,1.073632,0.13297
0.352055,-0.082151,1.443765,-0.241236,-1.251539
-0.676392,-1.430775,-0.040158,1.440117,1.80094
-2.07339,-1.407512,-0.371441,1.246085,-0.342688
-1.279577,0.517659,0.026091,-1.840874,-0.624819
-0.07201,-0.64512,0.361636,1.35624,1.003533
0.609138,1.213098,-0.316408,1.09131,-1.092313
-0.151785,-0.6227,0.280992,-1.952088,0.588317
0.068563,-0.919424,0.473592,-1.550663,-1.062304
1.538037,-2.619745,1.564644,0.361396,-0.035826
0.919076,0.321698,0.267392,-0.09889,-0.290275
0.955142,-0.530258,0.504047,-0.062679,-0.985726
0.787085,0.963376,-0.820682,-0.974682,1.158596
0.224092,-0.77301,0.097676,-0.40122,0.012592
0.289169,-0.530997,-0.63774,0.492451,2.4553
-1.124642,0.332314,1.277677,0.711615,-1.534114
0.579291,1.196572,-0.973069,-0.01531,0.11958
-0.167118,-0.816936,1.206509,0.64871,0.146714
0.577072,-0.603985,0.371146,-0.796895,-0.203045
1.266911,0.774634,0.443819,-0.484234,-0.707669
-0.037222,0.73264,0.051946,-0.071601,0.72763
1.797687,0.572583,-0.571179,-0.2811,0.640843
2.31933,-0.309116,0.192049,0.141717,0.393318
-0.990536,-0.503476,0.099651,2.190456,-0.566298
1.672572,-0.055769,-0.705012,-1.209641,0.419019
-0.15247,-0.785989,0.956702,0.133541,0.708109
0.872321,-0.808298,2.189803,-0.767348,0.183342
-1.627542,-0.904317,0.259723,-1.804882,0.048085
0.1976,1.735964,-0.689188,1.317394,2.075261
0.29612,-0.234587,0.005113,-1.463515,0.261055
0.21915,-0.095296,1.577453,-0.307778,0.249384
1.881157,0.440014,-2.198806,-0.5552,-1.448014
-1.713135,1.237816,-0.11454,-0.469176,1.353872
-1.710168,0.170865,0.743264,0.307802,-1.348185
0.003046,0.949554,1.190646,0.160574,0.436938
0.536653,0.996048,0.718953,-1.046911,1.185704
1.375707,-0.173072,0.125576,-0.297564,-0.150056
1.632411,0.130741,-0.440044,-1.247783,-1.430141
0.823171,-1.295079,-1.289961,-1.654857,0.073318
-0.673491,2.145149,-0.835347,1.247742,0.278994
-0.248691,0.734878,0.490975,0.28258,1.607346
0.013002,2.720169,-0.264657,0.827183,1.453534
1.677701,1.628397,0.568983,1.639117,-0.553588
-0.225776,-0.544383,-1.424748,1.465649,0.067528
-2.553921,-0.224765,-1.366879,-1.484898,0.93432
1.072507,-1.044809,-0.83921,0.538296,-0.364953
-1.351685,-0.949399,1.053642,-0.923233,-0.975873
-0.055585,2.445752,-1.125489,0.654366,0.279969
0.507274,1.382159,1.169296,0.820482,1.066675
-0.155677,0.337603,0.254421,0.08659,1.167782
-0.111226,1.236093,-0.73553,-1.413714,-0.903908
1.711708,1.47117,-1.613561,-0.172946,-1.371901
0.357113,-0.808494,-0.51827,-0.219672,1.477894
0.395804,-0.550305,0.260674,-0.625563,0.49403
0.815737,-0.167122,-0.583077,0.307407,0.860473
0.583928,1.108704,0.590655,1.846707,-0.359292
-0.034712,0.751933,1.142823,0.301547,-1.168678
-1.065114,-0.186971,-0.609512,-1.311836,-0.305225
-0.10703,-1.197878,-0.553649,-0.792873,-1.035242
-0.120948,-0.437458,-0.887492,0.64828,0.419532
-1.280429,1.696456,-2.081929,0.60601,1.754794
-0.385082,1.031,0.611676,0.324084,-0.676922
-0.772825,0.081874,-0.485364,0.758969,-0.236819
2.403416,1.050654,0.201099,0.364961,-0.057619
-1.418366,1.262584,-1.525656,0.932591,-1.760809
1.755341,0.645376,0.971571,2.060748,-0.248964
-2.038125,-0.351513,-1.870792,-0.408075,-1.008086
1.392002,-0.989628,-1.570501,0.179894,0.918317
-0.458884,-0.172627,-0.038508,1.683928,1.078681
0.817766,0.010353,0.55781,-0.025027,1.390208
0.515035,3.852731,0.515048,-0.937825,0.513786
-0.46573,-1.724918,-1.91328,-0.463418,0.241962
0.186767,-1.406661,-0.611518,-0.725744,-0.755383
-1.129052,-1.222128,0.489375,0.721672,-0.52452
-0.059525,-0.252568,-1.024388,-0.92693,-3.241267
-0.964923,-1.758739,1.058424,1.368632,0.686051
1.669022,-0.245743,-1.503143,-0.335785,-0.259591
0.872457,1.846637,-0.099176,-1.280304,0.650201
-0.185659,0.812526,-1.196207,-0.479174,-1.106335
-0.5737,1.727543,2.14227,0.522835,-0.024355
0.529693,0.064474,0.486502,0.05665,-0.070499
1.049009,-1.556629,-1.408461,-0.522723,-0.704344
0.207688,-1.081057,-1.276749,0.429618,0.271579
-0.825497,-0.563725,0.412931,-0.147057,-0.321386
1.886186,-0.074446,0.25755,0.404051,0.174578
-0.487606,-0.420984,0.394452,-0.411877,-0.432558
0.576557,1.119575,3.078881,-0.249036,0.31125
0.425458,-0.003603,-0.047711,0.7858,-0.966976
0.55623,-0.643518,2.165002,1.328194,0.455888
-0.027305,-0.884803,-0.443282,-0.15853,-0.933268
-0.599393,-0.759133,-0.525755,-0.839722,-2.123896
1.307143,0.259883,0.184634,0.22746,-1.607483
0.342725,0.447709,0.569767,1.117296,0.456753
0.915402,0.513267,-0.52976,-0.501757,0.328751
-0.254977,1.091507,-2.65097,0.10643,1.503993
-2.039232,1.502357,0.717542,-1.183259,-0.269407
-0.81581,0.276691,0.341152,-0.889514,-0.077102
-0.429406,0.04886,0.543298,0.125225,0.122298
1.329153,-0.089736,0.709004,0.642723,0.196521
-0.857158,-0.223463,0.482472,0.625667,-1.070892
-1.347126,-0.656894,1.200414,0.18468,-0.971614
-1.294681,0.346504,-0.467701,-1.11967,1.160827
1.384273,0.853416,0.594754,2.439752,0.563909
-0.528617,0.021272,1.238283,-0.651357,0.586364
0.471468,1.593187,1.34542,-0.790474,1.882024
-0.493001,0.357015,0.849602,-0.208122,-0.589365
-1.150994,-0.291694,-0.600639,0.110923,0.375698
-0.474945,0.404982,1.765454,-0.334501,-0.653329
0.028181,0.474698,1.085896,-0.898468,-0.009119
0.612774,1.914031,-0.623769,-1.039906,-1.053416
-1.012831,-1.412304,-0.908024,-0.562288,0.314247
-0.982487,-0.968344,0.550052,0.940771,-0.224633
-2.041735,-1.00162,-0.681984,0.208383,-0.247177
-0.897254,0.97512,-0.677162,-0.012247,0.075805
1.628616,-0.055548,-1.703382,0.074095,-1.380101
-0.269875,0.3773,-0.444293,-0.510016,-0.978764
-1.421811,-0.250833,-0.32268,-0.756795,1.501334
-0.609783,-0.784898,0.014688,1.196631,-0.134017
1.702215,0.56551,2.601683,0.308833,0.240753
-0.677715,-0.365322,0.136535,0.459972,2.013387
0.013929,-0.14436,0.198085,0.059218,-0.024125
0.346448,0.293072,0.232254,0.250493,-0.680025
-1.096275,-0.846961,1.594505,0.015579,-1.440051
0.235615,1.143754,-1.478586,-2.211135,0.770865
0.222134,-0.894607,1.255756,-0.309172,-0.478749
-1.110576,1.271555,0.935678,-0.777817,1.75227
0.243687,-0.471038,-0.506943,-0.82222,0.244967
0.681953,-0.130143,0.324166,0.021004,-0.310267
0.302635,0.328762,-0.064138,-1.146345,-0.754276
-1.80198,-0.57651,0.759155,-1.170113,0.541463
-0.68815,-0.324831,0.981765,1.009817,2.252436
1.15933,0.593101,0.615936,-0.360966,-1.081063
-0.989605,1.094192,0.055725,-0.511216,-0.125787
-0.555477,1.420504,1.189017,-0.623141,-0.637387
-0.701992,1.749577,-1.402605,0.040592,-0.662901
-2.896255,1.108183,-0.13959,0.99801,2.088375
-1.335344,0.55979,0.610586,0.177701,0.380198
-1.224298,-0.580523,-0.85052,-0.138456,-0.209023
0.25603,1.01437,1.665474,0.472597,0.982691
0.216459,2.143944,-0.6516,-0.730367,0.045572
1.173474,0.399688,-1.296832,0.662881,0.181022
0.19906,-0.385314,0.069802,0.462103,-0.600217
-0.558922,-0.06575,1.565524,-1.523187,0.377212
1.852278,0.822545,-1.057711,-0.601707,-0.013497
1.409347,-0.445503,-0.362839,-0.517288,2.298898
0.038003,-1.022793,0.613518,0.436324,0.120031
0.607897,0.19409,-0.446434,0.279022,0.186609
0.82206,-0.753736,-0.245388,0.412781,1.896793
-0.918652,-0.034685,-0.767798,-1.344451,-1.004141
0.421921,-0.244157,0.453534,0.321357,1.613711
-0.487911,0.742095,-0.605715,0.677926,2.157308
0.109395,0.223884,0.481009,0.129221,0.725767
-1.037246,-1.3828,-0.875618,0.53891,-0.190339
0.992042,0.53651,-0.755745,-0.66809,-0.17496
0.662131,2.133033,-1.237815,0.113517,1.586017
-0.039555,0.029756,0.028318,1.053153,0.681501
-2.025143,0.852433,-0.661786,0.633919,0.186454
0.497998,2.153182,0.959271,0.02451,1.451144
0.500917,0.751387,0.099332,0.755391,-0.977555
